,age,EDUCATION,sex,RIG
41,5.754887502163468,5.754887502163468,0.7548875021634686,12.264662506490405
35,4.754887502163468,5.754887502163468,0.7548875021634686,11.264662506490405
30,5.754887502163468,4.754887502163468,0.7548875021634686,11.264662506490405
16,5.754887502163468,4.169925001442312,1.2954558835261714,11.220268387131952
7,5.754887502163468,3.7548875021634687,1.2954558835261714,10.805230887853108
4,4.754887502163468,4.754887502163468,1.2954558835261714,10.805230887853108
43,4.754887502163468,4.754887502163468,0.7548875021634686,10.264662506490405
40,4.754887502163468,2.7548875021634687,1.2954558835261714,8.805230887853108
29,3.7548875021634687,4.169925001442312,0.7548875021634686,8.679700005769249
46,4.754887502163468,2.5939234547197874,0.7548875021634686,8.103698459046724
25,3.30827083453526,3.7548875021634687,0.7548875021634686,7.818045838862197
3,3.30827083453526,3.7548875021634687,0.7548875021634686,7.818045838862197
17,3.4329594072761065,3.0939234547197874,0.7548875021634686,7.281770364159362
13,3.1699250014423117,2.7548875021634687,1.2954558835261714,7.220268387131952
49,3.1699250014423117,2.7548875021634687,1.2954558835261714,7.220268387131952
26,3.1699250014423117,2.7548875021634687,1.2954558835261714,7.220268387131952
39,3.7548875021634687,2.46240625180289,0.7548875021634686,6.9721812561298275
5,4.169925001442312,1.955306271517404,0.7548875021634686,6.880118775123185
10,3.0329594072761066,2.7548875021634687,0.7548875021634686,6.5427344116030435
50,3.0329594072761066,2.7548875021634687,0.7548875021634686,6.5427344116030435
2,3.0329594072761066,2.7548875021634687,0.7548875021634686,6.5427344116030435
27,3.0329594072761066,2.7548875021634687,0.7548875021634686,6.5427344116030435
18,3.0329594072761066,2.46240625180289,0.7548875021634686,6.250253161242465
9,2.768573788298634,2.4329594072761065,0.7548875021634686,5.956420697738208
21,2.768573788298634,2.4329594072761065,0.7548875021634686,5.956420697738208
23,2.768573788298634,2.4329594072761065,0.7548875021634686,5.956420697738208
31,2.768573788298634,2.4329594072761065,0.7548875021634686,5.956420697738208
38,2.168573788298634,2.4329594072761065,1.2954558835261714,5.896989079100912
53,2.168573788298634,2.4329594072761065,1.2954558835261714,5.896989079100912
14,2.168573788298634,2.4329594072761065,1.2954558835261714,5.896989079100912
28,2.768573788298634,3.0939234547197874,0.025171692844819918,5.887668935863241
36,3.30827083453526,1.2886396048507374,0.7548875021634686,5.351797941549465
12,1.7744631572039908,2.5939234547197874,0.7548875021634686,5.123274114087247
37,1.7744631572039908,1.955306271517404,0.7548875021634686,4.484656930884864
32,1.7744631572039908,1.955306271517404,0.7548875021634686,4.484656930884864
45,1.668573788298634,1.4329594072761063,1.2954558835261714,4.396989079100912
52,2.168573788298634,0.9329594072761063,1.2954558835261714,4.396989079100912
8,1.668573788298634,1.4329594072761063,1.2954558835261714,4.396989079100912
20,1.668573788298634,1.4329594072761063,1.2954558835261714,4.396989079100912
47,1.668573788298634,1.4329594072761063,1.2954558835261714,4.396989079100912
15,1.668573788298634,1.4329594072761063,1.2954558835261714,4.396989079100912
11,1.668573788298634,1.4329594072761063,1.2954558835261714,4.396989079100912
42,1.7744631572039908,1.4329594072761063,0.7548875021634686,3.9623100666435658
48,1.7744631572039908,1.4329594072761063,0.7548875021634686,3.9623100666435658
0,1.7744631572039908,1.4329594072761063,0.7548875021634686,3.9623100666435658
1,1.7744631572039908,1.4329594072761063,0.7548875021634686,3.9623100666435658
44,1.668573788298634,0.9329594072761063,1.2954558835261714,3.8969890791009116
19,1.7744631572039908,1.2886396048507374,0.7548875021634686,3.817990264218197
33,1.7744631572039908,1.2886396048507374,0.7548875021634686,3.817990264218197
6,1.668573788298634,0.8479969065549501,1.2954558835261714,3.8120265783797556
24,1.668573788298634,0.8479969065549501,1.2954558835261714,3.8120265783797556
22,1.7744631572039908,1.4329594072761063,0.025171692844819918,3.232594257324917
34,1.668573788298634,1.4329594072761063,0.025171692844819918,3.1267048884195603
51,2.168573788298634,0.8479969065549501,0.025171692844819918,3.0417423876984038
