age,EDUCATION,sex,dis-score,score
43,16,0,0.7473,2.0
50,16,0,0.0,0.0
22,18,0,0.7473,2.0
18,13,0,0.7473,2.0
31,14,1,0.8308,3.0
24,19,0,0.7473,2.0
44,16,1,0.0,0.0
38,13,1,0.8308,3.0
32,16,1,0.7473,2.0
54,12,0,0.7473,2.0
37,18,0,0.0,0.0
51,16,1,0.7473,2.0
42,16,0,0.5542,1.0
33,18,1,0.5542,1.0
50,12,1,0.7473,2.0
28,16,1,0.7473,2.0
36,17,1,0.8308,3.0
44,10,0,0.7473,2.0
27,18,0,0.5542,1.0
34,16,0,0.0,0.0
49,16,1,0.7473,2.0
49,12,0,0.7473,2.0
30,16,0,0.5542,1.0
29,12,0,0.7473,2.0
44,16,1,0.0,0.0
28,13,0,0.7473,2.0
45,18,1,0.7473,2.0
37,18,0,0.0,0.0
44,12,0,0.5542,1.0
45,17,0,0.7473,2.0
25,15,0,0.8308,3.0
55,12,0,0.7473,2.0
24,16,0,0.0,0.0
34,16,0,0.0,0.0
30,16,1,0.5542,1.0
31,22,0,0.8308,3.0
34,13,0,0.5542,1.0
24,16,0,0.0,0.0
22,12,1,0.7473,2.0
27,17,0,0.5542,1.0
33,15,1,0.7473,2.0
26,21,0,0.8755,4.0
50,16,0,0.0,0.0
32,14,0,0.8308,3.0
47,16,1,0.5542,1.0
40,16,1,0.7473,2.0
42,23,0,0.7473,2.0
48,16,1,0.7473,2.0
50,16,0,0.0,0.0
43,18,1,0.7473,2.0
53,18,0,0.7473,2.0
44,12,1,0.5542,1.0
47,12,1,0.5542,1.0
52,12,1,0.7473,2.0
