,age,education_years,education_degree,gender,RIG
2,3.321928094887362,3.321928094887362,2.321928094887362,1.0,9.965784284662087
5,3.321928094887362,3.321928094887362,1.7369655941662063,1.0,9.380821783940931
3,3.321928094887362,2.321928094887362,1.7369655941662063,1.0,8.380821783940931
7,2.321928094887362,3.321928094887362,1.7369655941662063,1.0,8.380821783940931
6,2.321928094887362,2.321928094887362,2.321928094887362,1.0,7.965784284662087
0,2.321928094887362,1.8219280948873622,2.321928094887362,1.0,7.465784284662087
1,2.321928094887362,1.8219280948873622,2.321928094887362,1.0,7.465784284662087
4,2.321928094887362,2.321928094887362,1.7369655941662063,1.0,7.380821783940931
8,1.8219280948873622,2.321928094887362,1.7369655941662063,1.0,6.880821783940931
9,1.8219280948873622,2.321928094887362,1.7369655941662063,1.0,6.880821783940931
